metadata,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,,,,,,,,,,,,,,,,,,
1,,,2023-10-14T21:18:02Z,,-33.74686399,151.121337,-33.74615103,151.121954,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
1,-33.74678202,151.121337,122.733017,2023-10-12T23:03:59Z,,,11,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-12T23:03:59Z
2,-33.746765,151.121353,113.657318,2023-10-12T23:15:47Z,,,12,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-12T23:15:47Z
3,-33.74661899,151.121444,123.543381,2023-10-12T23:23:36Z,,,13,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-12T23:23:36Z
4,-33.74658496,151.121544,124.971245,2023-10-12T23:30:48Z,,,14,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-12T23:30:48Z
5,-33.74650399,151.121544,118.493622,2023-10-12T23:39:39Z,,,15,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-12T23:39:39Z
6,-33.74686399,151.12174,125.283127,2023-10-13T00:08:13Z,,,16,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T00:08:13Z
7,-33.74674103,151.121762,126.069107,2023-10-13T00:21:18Z,,,17,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T00:21:18Z
8,-33.74672703,151.121847,105.690987,2023-10-13T00:30:20Z,,,18,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T00:30:20Z
9,-33.74656199,151.121856,122.796448,2023-10-13T00:41:47Z,,,19,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T00:41:47Z
10,-33.74651497,151.121895,117.706589,2023-10-13T00:49:42Z,,,20,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T00:49:42Z
11,-33.74643903,151.121922,117.708237,2023-10-13T00:58:01Z,,,21,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T00:58:01Z
12,-33.74662897,151.121757,115.760834,2023-10-13T02:42:04Z,,,22,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T02:42:04Z
13,-33.74652402,151.121792,120.251778,2023-10-13T02:53:44Z,,,23,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T02:53:44Z
14,-33.74644297,151.121846,120.035965,2023-10-13T03:01:41Z,,,24,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T03:01:41Z
15,-33.74645596,151.121918,118.434723,2023-10-13T03:11:01Z,,,25,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T03:11:01Z
16,-33.74627299,151.121932,115.250931,2023-10-13T03:18:15Z,,,26,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T03:18:15Z
17,-33.74615103,151.121954,118.735748,2023-10-13T03:25:42Z,,,27,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T03:25:42Z
18,-33.74667699,151.121553,119.002838,2023-10-13T03:48:27Z,,,28,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T03:48:27Z
19,-33.74658597,151.121616,122.487015,2023-10-13T03:56:01Z,,,29,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T03:56:01Z
20,-33.74650902,151.121625,125.294235,2023-10-13T04:04:29Z,,,30,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T04:04:29Z
21,-33.74645596,151.12163,124.111763,2023-10-13T04:15:40Z,,,31,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T04:15:40Z
22,-33.74636603,151.121771,118.002792,2023-10-13T04:21:19Z,,,32,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T04:21:19Z
23,-33.74625899,151.121827,114.049706,2023-10-13T04:30:56Z,,,33,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2023-10-13T04:30:56Z
